datetime,tempmax,tempmin,temp,humidity,description
2/1/2022,32.88888889,23,27.27777778,70.9,Clear conditions throughout the day.
2/2/2022,32,23,27.16666667,72.1,Clear conditions throughout the day.
2/3/2022,31.11111111,23,26.61111111,72.4,Clear conditions throughout the day.
2/4/2022,30.05555556,21,25.38888889,66.4,Partly cloudy throughout the day.
2/5/2022,30,20,24.66666667,69.1,Clear conditions throughout the day.
2/6/2022,30.05555556,20,25.33333333,70.4,Partly cloudy throughout the day.
2/7/2022,31,22,25.94444444,68.6,Partly cloudy throughout the day.
2/8/2022,31.11111111,22,26,70.7,Clear conditions throughout the day.
2/9/2022,31,22.88888889,26.27777778,70.4,Partly cloudy throughout the day.
2/10/2022,32,23,26.66666667,71.6,Partly cloudy throughout the day.
2/11/2022,35.11111111,23,27.61111111,55,Clear conditions throughout the day.
2/12/2022,33.05555556,21,26.83333333,61.6,Clear conditions throughout the day.
2/13/2022,33,23,27.33333333,64.9,Clear conditions throughout the day.
2/14/2022,32.88888889,23,27.27777778,71.8,Partly cloudy throughout the day.
2/15/2022,32,24,27.33333333,72.2,Partly cloudy throughout the day.
2/16/2022,31.11111111,23,26.94444444,72.3,Partly cloudy throughout the day.
2/17/2022,32,23,27.05555556,67.4,Clear conditions throughout the day.
2/18/2022,32,24,27.16666667,66.2,Partly cloudy throughout the day.
2/19/2022,34,24,27.61111111,67.4,Clear conditions throughout the day.
2/20/2022,32.11111111,23,27.27777778,73.6,Partly cloudy throughout the day.
2/21/2022,33,24,27.38888889,71.1,Clear conditions throughout the day.
2/22/2022,33,22,27.27777778,62.1,Clear conditions throughout the day.
2/23/2022,34.88888889,23,27.77777778,62.4,Clear conditions throughout the day.
2/24/2022,32.22222222,23,27.44444444,70.9,Partly cloudy throughout the day.
2/25/2022,33.05555556,24,27.94444444,72.7,Clearing in the afternoon.
2/26/2022,33,23,27.5,72.2,Clearing in the afternoon.
2/27/2022,33.83333333,24,28.05555556,73.1,Clear conditions throughout the day.
2/28/2022,32,23,27.83333333,72.1,Partly cloudy throughout the day.
3/1/2022,32,24,27.94444444,73.3,Partly cloudy throughout the day.
3/2/2022,35,24,28.27777778,65.2,Clear conditions throughout the day.
3/3/2022,36,22,28.38888889,54.8,Clear conditions throughout the day.
3/4/2022,36,21.88888889,28.11111111,51.7,Clear conditions throughout the day.
3/5/2022,34.16666667,23,27.83333333,61.1,Clear conditions throughout the day.
3/6/2022,34,23,27.94444444,69.5,Clear conditions throughout the day.
3/7/2022,33.88888889,24,28.5,64.8,Clear conditions throughout the day.
3/8/2022,33,24,28.44444444,68.7,Partly cloudy throughout the day.
3/9/2022,33,25,28.61111111,71.2,Partly cloudy throughout the day.
3/10/2022,33,25,28.5,75.2,Partly cloudy throughout the day.
3/11/2022,34,25,28.88888889,75,Partly cloudy throughout the day.
3/12/2022,33,25,28.77777778,75.3,Clear conditions throughout the day.
3/13/2022,35,25,29.33333333,66.7,Clear conditions throughout the day.
3/14/2022,35,24,29.05555556,67.8,Clear conditions throughout the day.
3/15/2022,34,25,28.88888889,75.7,Partly cloudy throughout the day.
3/16/2022,33.05555556,25,28.72222222,75.7,Partly cloudy throughout the day.
3/17/2022,33,26,29.33333333,74.2,Partly cloudy throughout the day.
3/18/2022,33.11111111,25,28.77777778,72.2,Partly cloudy throughout the day.
3/19/2022,32.11111111,24,28,67.2,Partly cloudy throughout the day.
3/20/2022,33,24,27.72222222,69.9,Partly cloudy throughout the day.
3/21/2022,33,25,28.72222222,71.8,Partly cloudy throughout the day.
3/22/2022,31,22,27.33333333,76.2,Partly cloudy throughout the day with early morning rain.
3/23/2022,32.83333333,24.11111111,28.22222222,73.9,Partly cloudy throughout the day with late afternoon rain.
3/24/2022,31.88888889,24,26.83333333,77.8,Partly cloudy throughout the day.
3/25/2022,31.11111111,24,27.83333333,73.2,Partly cloudy throughout the day.
3/26/2022,33,25,28.94444444,71,Partly cloudy throughout the day.
3/27/2022,33.11111111,26,29.22222222,71.3,Partly cloudy throughout the day.
3/28/2022,33,25,28.83333333,71.2,Partly cloudy throughout the day.
3/29/2022,33,27,29.27777778,68.3,Partly cloudy throughout the day.
3/30/2022,33.11111111,26,29.22222222,69.5,Partly cloudy throughout the day.
3/31/2022,33.11111111,25,29.16666667,70.3,Partly cloudy throughout the day.
4/1/2022,33,26,29.16666667,75.1,Partly cloudy throughout the day.
4/2/2022,32.88888889,24,28.66666667,75.9,Partly cloudy throughout the day with early morning rain.
4/3/2022,33,26,28.83333333,75.2,Partly cloudy throughout the day.
4/4/2022,33.88888889,25,29.16666667,73.4,Partly cloudy throughout the day.
4/5/2022,33.83333333,27,29.72222222,71.2,Partly cloudy throughout the day.
4/6/2022,33,26,29.16666667,70.1,Partly cloudy throughout the day.
4/7/2022,33,25,28.94444444,72.8,Partly cloudy throughout the day.
4/8/2022,32.83333333,27,29.33333333,74.5,Partly cloudy throughout the day.
4/9/2022,32.22222222,22,27.88888889,76.8,Partly cloudy throughout the day.
4/10/2022,32.05555556,23,27.22222222,75.7,Partly cloudy throughout the day with morning rain.
4/11/2022,33,24,28.5,71.6,Partly cloudy throughout the day.
4/12/2022,32.05555556,27,29.55555556,78.2,Partly cloudy throughout the day.
4/13/2022,31.83333333,22,27.88888889,79.9,Partly cloudy throughout the day.
4/14/2022,30.05555556,22,25.66666667,81.8,Cloudy skies throughout the day with morning rain.
